transaction_date,quantity_sold,cost_of_goods,transaction_count,year,month,week,day_of_week,day_of_year,is_weekend,days_since_start,qty_ma7,qty_ma14,qty_ma30,cog_ma7,cog_ma14
2024-01-01 00:31:00,5,7989.450000000001,1,2024,1,1,0,1,0,0,5.0,5.0,5.0,7989.450000000001,7989.450000000001
2024-01-01 00:40:00,4,7114.0,1,2024,1,1,0,1,0,0,4.5,4.5,4.5,7551.725,7551.725
2024-01-01 00:54:00,1,1072.17,1,2024,1,1,0,1,0,0,3.3333333333333335,3.3333333333333335,3.3333333333333335,5391.873333333334,5391.873333333334
2024-01-01 02:04:00,5,8356.849999999999,1,2024,1,1,0,1,0,0,3.75,3.75,3.75,6133.1175,6133.1175
2024-01-01 02:59:00,5,6379.95,1,2024,1,1,0,1,0,0,4.0,4.0,4.0,6182.4839999999995,6182.4839999999995
2024-01-01 03:00:00,2,3551.7,1,2024,1,1,0,1,0,0,3.6666666666666665,3.6666666666666665,3.6666666666666665,5744.0199999999995,5744.0199999999995
2024-01-01 04:05:00,3,3584.58,1,2024,1,1,0,1,0,0,3.5714285714285716,3.5714285714285716,3.5714285714285716,5435.528571428571,5435.528571428571
2024-01-01 05:55:00,3,3741.18,1,2024,1,1,0,1,0,0,3.2857142857142856,3.5,3.5,4828.632857142858,5223.735
2024-01-01 07:52:00,4,4339.6,1,2024,1,1,0,1,0,0,3.2857142857142856,3.5555555555555554,3.5555555555555554,4432.29,5125.497777777778
2024-01-01 08:37:00,4,744.12,1,2024,1,1,0,1,0,0,3.7142857142857144,3.6,3.6,4385.425714285714,4687.36
2024-01-01 08:40:00,1,1313.61,1,2024,1,1,0,1,0,0,3.142857142857143,3.3636363636363638,3.3636363636363638,3379.2485714285713,4380.655454545455
2024-01-01 09:04:00,1,980.76,1,2024,1,1,0,1,0,0,2.5714285714285716,3.1666666666666665,3.1666666666666665,2607.9357142857148,4097.330833333333
2024-01-01 09:07:00,4,1615.52,1,2024,1,1,0,1,0,0,2.857142857142857,3.230769230769231,3.230769230769231,2331.3385714285714,3906.4223076923076
2024-01-01 11:02:00,1,1945.39,1,2024,1,1,0,1,0,0,2.5714285714285716,3.0714285714285716,3.0714285714285716,2097.1685714285713,3766.348571428571
2024-01-01 11:24:00,3,2551.56,1,2024,1,1,0,1,0,0,2.5714285714285716,2.9285714285714284,3.066666666666667,1927.2228571428573,3377.927857142857
2024-01-01 14:37:00,5,9377.25,1,2024,1,1,0,1,0,0,2.7142857142857144,3.0,3.1875,2646.887142857143,3539.588571428572
2024-01-01 15:51:00,2,2165.58,1,2024,1,1,0,1,0,0,2.4285714285714284,3.0714285714285716,3.1176470588235294,2849.9528571428573,3617.6892857142852
2024-01-01 16:24:00,2,3680.62,1,2024,1,1,0,1,0,0,2.5714285714285716,2.857142857142857,3.0555555555555554,3188.097142857143,3283.672857142857
2024-01-01 19:18:00,1,808.67,1,2024,1,1,0,1,0,0,2.5714285714285716,2.5714285714285716,2.9473684210526314,3163.5128571428572,2885.7242857142855
2024-01-01 19:34:00,1,1219.58,1,2024,1,1,0,1,0,0,2.142857142857143,2.5,2.85,3106.9500000000003,2719.144285714286
2024-01-01 20:40:00,2,2235.72,1,2024,1,1,0,1,0,0,2.2857142857142856,2.4285714285714284,2.8095238095238093,3148.425714285714,2622.797142857143
2024-01-01 21:35:00,2,3196.06,1,2024,1,1,0,1,0,0,2.142857142857143,2.357142857142857,2.772727272727273,3240.4971428571434,2583.86
2024-01-01 21:53:00,2,1908.88,1,2024,1,1,0,1,0,0,1.7142857142857142,2.2142857142857144,2.739130434782609,2173.587142857143,2410.2371428571428
2024-01-01 22:08:00,1,1237.93,1,2024,1,1,0,1,0,0,1.5714285714285714,2.0,2.6666666666666665,2041.0657142857144,2445.5092857142854
2024-01-01 22:11:00,3,5774.9400000000005,1,2024,1,1,0,1,0,0,1.7142857142857142,2.142857142857143,2.68,2340.254285714286,2764.175714285714
2024-01-01 22:23:00,5,2278.05,1,2024,1,1,0,1,0,0,2.2857142857142856,2.4285714285714284,2.769230769230769,2550.165714285715,2856.839285714286
2024-01-02 01:25:00,4,750.68,1,2024,1,1,1,2,0,1,2.7142857142857144,2.4285714285714284,2.814814814814815,2483.1800000000003,2795.0649999999996
2024-01-02 04:52:00,3,974.04,1,2024,1,1,1,2,0,1,2.857142857142857,2.5714285714285716,2.8214285714285716,2302.94,2725.682857142857
2024-01-02 05:48:00,1,1567.16,1,2024,1,1,1,2,0,1,2.7142857142857144,2.4285714285714284,2.7586206896551726,2070.2400000000007,2655.3685714285716
2024-01-02 11:11:00,4,5657.52,1,2024,1,1,1,2,0,1,3.0,2.357142857142857,2.8,2605.7600000000007,2389.6735714285714
2024-01-02 13:12:00,2,3192.9,1,2024,1,1,1,2,0,1,3.142857142857143,2.357142857142857,2.7,2885.0414285714287,2463.0535714285716
2024-01-02 18:30:00,1,1137.27,1,2024,1,1,1,2,0,1,2.857142857142857,2.2857142857142856,2.6,2222.5171428571434,2281.3857142857146
2024-01-02 18:44:00,4,673.96,1,2024,1,1,1,2,0,1,2.7142857142857144,2.5,2.7,1993.3614285714289,2271.7635714285716
2024-01-02 20:59:00,4,5530.08,1,2024,1,1,1,2,0,1,2.7142857142857144,2.7142857142857144,2.6666666666666665,2676.132857142857,2579.656428571429
2024-01-02 23:35:00,1,1381.68,1,2024,1,1,1,2,0,1,2.4285714285714284,2.642857142857143,2.533333333333333,2734.367142857143,2518.6535714285715
2024-01-03 00:21:00,1,206.48,1,2024,1,1,2,3,0,1,2.4285714285714284,2.5714285714285716,2.5,2539.984285714286,2305.112142857143
2024-01-03 01:11:00,1,1045.55,1,2024,1,1,2,3,0,2,2.0,2.5,2.433333333333333,1881.1314285714288,2243.4457142857145
